model,sub_grade,n_loans,AUC_test,prec_5,prec_10,prec_20,random,ratio_5,ratio_10,ratio_20
random forest,A1,"9,162",0.5661,0.9775,0.9775,0.9763,0.9681,1.0097,1.0097,1.0084
random forest,A2,"6,824",0.5478,0.9623,0.9621,0.9579,0.9499,1.0131,1.0128,1.0084
random forest,A3,"6,570",0.5694,0.9635,0.959,0.9606,0.9495,1.0147,1.0101,1.0117
random forest,A4,"9,587",0.5394,0.9454,0.9486,0.9481,0.9346,1.0115,1.015,1.0144
random forest,A5,"12,338",0.5158,0.943,0.9279,0.9274,0.9194,1.0256,1.0092,1.0087
random forest,B1,"13,509",0.5513,0.9261,0.9205,0.9234,0.9027,1.0259,1.0197,1.0229
random forest,B2,"13,804",0.5369,0.8964,0.9024,0.9074,0.8912,1.0058,1.0126,1.0182
random forest,B3,"15,232",0.5397,0.8944,0.8985,0.9003,0.8764,1.0205,1.0252,1.0273
random forest,B4,"16,211",0.5404,0.8876,0.8848,0.879,0.86,1.0321,1.0288,1.0221
random forest,B5,"16,515",0.5373,0.8751,0.8709,0.8727,0.8465,1.0338,1.0288,1.031
random forest,C1,"17,151",0.5487,0.844,0.8497,0.85,0.8226,1.026,1.0329,1.0332
random forest,C2,"15,772",0.549,0.8568,0.85,0.84,0.8053,1.064,1.0555,1.043
random forest,C3,"14,944",0.5558,0.8278,0.8248,0.8188,0.7875,1.0511,1.0473,1.0397
random forest,C4,"14,667",0.5584,0.8412,0.8192,0.8055,0.7651,1.0994,1.0707,1.0527
random forest,C5,"12,648",0.558,0.8227,0.8034,0.8066,0.7528,1.0928,1.0672,1.0714
random forest,D1,"10,311",0.5564,0.8033,0.7995,0.7935,0.7444,1.0791,1.0739,1.0659
random forest,D2,"8,639",0.574,0.7873,0.8004,0.7774,0.7132,1.1039,1.1224,1.0901
random forest,D3,"7,303",0.5473,0.7939,0.7715,0.7488,0.7087,1.1201,1.0886,1.0566
random forest,D4,"6,904",0.5468,0.706,0.7273,0.7238,0.6829,1.0338,1.0649,1.0598
random forest,D5,"5,764",0.5525,0.7273,0.7311,0.7217,0.6747,1.0779,1.0837,1.0696
random forest,E1,"5,252",0.5528,0.6873,0.68,0.6979,0.6424,1.0698,1.0585,1.0863
random forest,E2,"4,336",0.5748,0.738,0.7263,0.7275,0.6391,1.1548,1.1365,1.1383
random forest,E3,"3,721",0.5517,0.7107,0.6452,0.6547,0.6213,1.1438,1.0385,1.0537
random forest,E4,"3,047",0.5662,0.759,0.7344,0.6845,0.5996,1.2659,1.2248,1.1415
random forest,E5,"2,516",0.5831,0.637,0.6755,0.6887,0.5807,1.097,1.1632,1.186
random forest,F1,"1,895",0.5619,0.7245,0.6915,0.665,0.5784,1.2527,1.1957,1.1498
random forest,F2,"1,387",0.5526,0.6216,0.6154,0.6211,0.5472,1.136,1.1246,1.1349
random forest,F3,"1,114",0.5544,0.6316,0.6838,0.6288,0.526,1.2006,1.2998,1.1954
random forest,F4,876,0.5582,0.6327,0.6344,0.627,0.5103,1.2398,1.2433,1.2288
random forest,F5,705,0.5764,0.6154,0.5658,0.5918,0.4752,1.2951,1.1907,1.2455
random forest,G1,475,0.5535,0.7037,0.5849,0.5612,0.4989,1.4104,1.1723,1.1248
random forest,G2,382,0.5361,0.6,0.5814,0.5443,0.5105,1.1754,1.1389,1.0663
random forest,G3,275,0.6003,0.8,0.7333,0.6316,0.5018,1.5942,1.4614,1.2586
random forest,G4,197,0.551,0.5455,0.5455,0.5366,0.4213,1.2946,1.2946,1.2736
random forest,G5,155,0.434,0.4,0.2941,0.3438,0.4258,0.9394,0.6907,0.8073
